MetaG Density,Comparison,Pseudo-F,Mahalanobis,APR Error,AUC-ROC Error
12%,Joint-RPCA vs. MOFA+,4.835603677323274e-06,0.004052484506338743,0.00019381031928521607,0.0008741653888284778
12%,Joint-RPCA vs. iClusterPlus,0.00018267179110955002,0.00018267179110955002,0.0013149446697132139,0.0021853274789521097
12%,Joint-RPCA vs. intNMF,0.00018267179110955002,0.00018267179110955002,0.0013149446697132139,0.0031742232317776954
12%,Joint-RPCA vs. Multiblock sPLS,0.00018267179110955002,0.00018267179110955002,0.0010079762403767444,0.0013094231237714329
11%,Joint-RPCA vs. MOFA+,3.4080658625398065e-06,0.002741615805173135,0.0008370528494676327,0.0019385966154116944
11%,Joint-RPCA vs. iClusterPlus,0.00018267179110955002,0.00018267179110955002,0.0010079762403767444,0.0021853274789521097
11%,Joint-RPCA vs. intNMF,0.00018267179110955002,0.00018267179110955002,0.00728455700947966,0.0035852853678737984
11%,Joint-RPCA vs. Multiblock sPLS,0.00018267179110955002,0.00018267179110955002,0.03763531378731424,0.028306043228323398
9%,Joint-RPCA vs. MOFA+,3.0294823499264747e-06,0.007912871288656566,0.001532197771140556,0.0021284955501598576
9%,Joint-RPCA vs. iClusterPlus,0.00018267179110955002,0.00018267179110955002,0.0017062493689195964,0.0027859446415680706
9%,Joint-RPCA vs. intNMF,0.00018267179110955002,0.00018267179110955002,0.004586392080253494,0.0028065622375925453
9%,Joint-RPCA vs. Multiblock sPLS,0.00018267179110955002,0.00018267179110955002,0.011329696684474665,0.004058090877633739
5%,Joint-RPCA vs. MOFA+,3.0294823499264747e-06,0.002741615805173135,0.0010921917666199918,0.0006408802343906439
5%,Joint-RPCA vs. iClusterPlus,0.00018267179110955002,0.00018267179110955002,0.0028272720911168077,0.0021937635741237312
5%,Joint-RPCA vs. intNMF,0.00018267179110955002,0.00018267179110955002,0.0017062493689195964,0.0007650229509193601
5%,Joint-RPCA vs. Multiblock sPLS,0.00018267179110955002,0.00018267179110955002,0.0007685389131627665,0.0005800603714706721
3%,Joint-RPCA vs. MOFA+,2.120668199638999e-06,4.375046514482327e-05,0.00011337527347538,0.00016648768036872828
3%,Joint-RPCA vs. iClusterPlus,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.0003264344499015525
3%,Joint-RPCA vs. intNMF,0.00018267179110955002,0.00018267179110955002,0.00043963875262656454,0.0005800603714706721
3%,Joint-RPCA vs. Multiblock sPLS,0.00018267179110955002,0.00018267179110955002,0.00043963875262656454,0.0004352787705177256
