,time,stage,rplo 1 (Cyanobacteria)
3min_early,3min,early,20.169999999999998
3min_earlymid,3min,earlymid,22.48
3min_latemid,3min,latemid,9.68
3min_late,3min,late,25.19
9hr_early,9hr,early,9.5
9hr_earlymid,9hr,earlymid,7.19
9hr_latemid,9hr,latemid,9.16
18hr_early,18hr,early,14.16
18hr_earlymid,18hr,earlymid,4.89
18hr_latemid,18hr,latemid,5.46
18hr_late,18hr,late,5.07
42hr_early,42hr,early,7.969999999999999
42hr_earlymid,42hr,earlymid,6.510000000000001
42hr_latemid,42hr,latemid,0.49
42hr_late,42hr,late,3.82
49p5hr_early,49hr,early,1.21
49p5hr_earlymid,49hr,earlymid,2.88
49p5hr_latemid,49hr,latemid,0.31
49p5hr_late,49hr,late,0.27
