method,method_detailed,n features,% features,time (s),time (hr)
Joint-RPCA,Estimated,4388,4.8,1.2237060779999993,0.0003399183549999998
MMvec,Estimated,4388,4.8,1309.9054217080266,0.3638626171411185
MMvec,Estimated,5302,5.8,1309.9054217080266,0.3638626171411185
Joint-RPCA,Estimated,5302,5.8,1.2237060779999993,0.0003399183549999998
Joint-RPCA,Estimated,7040,7.7,1.2237060779999993,0.0003399183549999998
MMvec,Estimated,7040,7.7,1309.9054217080266,0.3638626171411185
MMvec,Estimated,7954,8.7,1309.9054217080266,0.3638626171411185
Joint-RPCA,Estimated,7954,8.7,1.2237060779999993,0.0003399183549999998
MMvec,Estimated,8777,9.6,1309.9054217080266,0.3638626171411185
Joint-RPCA,Estimated,8777,9.6,1.2237060779999993,0.0003399183549999998
Joint-RPCA,Joint-RPCA,9562,10.5,1.2237060779999993,0.0003399183549999998
MMvec,MMvec,9562,10.5,1309.9054217080266,0.3638626171411185
MMvec,MMvec,10380,11.3,2027.8538604080286,0.5632927390022302
Joint-RPCA,Joint-RPCA,10380,11.3,1.2836702819999992,0.0003565750783333331
Joint-RPCA,Joint-RPCA,12018,13.1,1.8379325800000004,0.0005105368277777779
MMvec,MMvec,12018,13.1,4931.2858902680255,1.3698016361855627
Joint-RPCA,Joint-RPCA,13655,14.9,1.9324246780000005,0.0005367846327777779
MMvec,MMvec,13655,14.9,10655.771702849026,2.9599365841247294
Joint-RPCA,Joint-RPCA,17748,19.4,3.4570070950000016,0.0009602797486111115
MMvec,MMvec,17748,19.4,49187.65799940303,13.66323833316751
MMvec,MMvec,21842,23.9,128819.16320611202,35.783100890586674
Joint-RPCA,Joint-RPCA,21842,23.9,4.316534650999998,0.0011990374030555549
MMvec,Estimated,27428,30.0,454791.44545594405,126.33095707109557
Joint-RPCA,Joint-RPCA,27428,30.0,6.031863997999999,0.0016755177772222218
Joint-RPCA,Joint-RPCA,32000,35.0,7.704981972999995,0.0021402727702777764
MMvec,Estimated,32000,35.0,1235523.6847780591,343.20102354946084
MMvec,Estimated,36571,40.0,3325558.7718403703,923.766325511214
Joint-RPCA,Joint-RPCA,36571,40.0,9.098437693,0.002527343803611111
Joint-RPCA,Joint-RPCA,91429,100.0,29.136794615,0.008093554059722221
